# ----------------------------------------
# Events: Event name
# Account: Default Account for Firebase
# Property: ai-magic-fbd2e
# ----------------------------------------
# 
# All Users
# Start date: 20260831
# End date: 20260906
Event name,Event count,Total users,Event count per active user,Total revenue
settings_rateApp_submit_clicked,18,15,1.2,0
carousel_native_shown_language_screen_34,16,16,1.0666666666666667,0
carousel_native_shown_language_screen_32,15,15,1.0714285714285714,0
cartoonize_result_manual,15,10,1.5,0
changebg_manual,15,12,1.25,0
carousel_native_shown_language_screen_35,14,14,1.0769230769230769,0
carousel_native_shown_language_screen_33,12,12,1.0909090909090908,0
carousel_native_shown_language_screen_40,12,12,1.0909090909090908,0
settings_rateApp_cancel_clicked,12,9,1.3333333333333333,0
carousel_native_shown_language_screen_36,11,11,1.1,0
carousel_native_shown_language_screen_39,11,11,1.1,0
os_update,11,11,2.75,0
settings_creations_clicked,11,7,1.5714285714285714,0
babygen_result_manual,10,9,1.1111111111111112,0
carousel_native_shown_language_screen_37,10,10,1.1111111111111112,0
carousel_native_shown_language_screen_38,10,10,1.1111111111111112,0
carousel_native_shown_language_screen_43,10,10,1.1111111111111112,0
carousel_native_shown_language_screen_46,10,10,1.1111111111111112,0
app_store_subscription_renew,9,9,9,18.538758
carousel_native_shown_language_screen_41,9,9,1.125,0
carousel_native_shown_language_screen_47,9,9,1.125,0
carousel_native_shown_language_screen_48,9,9,1.125,0
carousel_native_shown_language_screen_42,8,8,1.1428571428571428,0
carousel_native_shown_language_screen_44,8,8,1.1428571428571428,0
carousel_native_shown_language_screen_45,8,8,1.1428571428571428,0
carousel_native_shown_language_screen_50,8,8,1.1428571428571428,0
carousel_native_shown_language_screen_54,8,8,1.1428571428571428,0
app_store_subscription_cancel,7,7,3.5,0
carousel_native_shown_language_screen_52,7,7,1.1666666666666667,0
carousel_native_shown_language_screen_58,7,7,1.1666666666666667,0
carousel_native_shown_language_screen_49,6,6,1.2,0
carousel_native_shown_language_screen_51,6,6,1.2,0
carousel_native_shown_language_screen_53,6,6,1.2,0
carousel_native_shown_language_screen_55,6,6,1.2,0
carousel_native_shown_language_screen_56,6,6,1.2,0
carousel_native_shown_language_screen_59,6,6,1.2,0
carousel_native_shown_language_screen_57,5,5,1.25,0
carousel_native_shown_language_screen_60,5,5,1.25,0
carousel_native_shown_language_screen_61,5,5,1.25,0
carousel_native_shown_language_screen_62,5,5,1.25,0
carousel_native_shown_language_screen_63,5,5,1.25,0
carousel_native_shown_language_screen_64,5,5,1.25,0
carousel_native_shown_language_screen_65,5,5,1.25,0
carousel_native_shown_language_screen_67,5,5,1.25,0
carousel_native_shown_language_screen_68,5,5,1.25,0
carousel_native_shown_language_screen_66,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_69,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_70,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_72,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_73,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_74,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_76,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_77,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_78,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_80,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_81,4,4,1.3333333333333333,0
carousel_native_shown_language_screen_93,4,4,1.3333333333333333,0
iap_screen_fromonLaunchScreen,4,1,4,0
carousel_native_shown_language_screen_71,3,3,1.5,0
carousel_native_shown_language_screen_75,3,3,1.5,0
carousel_native_shown_language_screen_79,3,3,1.5,0
carousel_native_shown_language_screen_84,3,3,1.5,0
carousel_native_shown_language_screen_85,3,3,1.5,0
carousel_native_shown_language_screen_88,3,3,1.5,0
carousel_native_shown_language_screen_89,3,3,1.5,0
carousel_native_shown_language_screen_91,3,3,1.5,0
carousel_native_shown_language_screen_95,3,3,1.5,0
carousel_native_shown_language_screen_97,3,3,1.5,0
bgremove_result_manual,2,2,1,0
carousel_native_shown_language_screen_82,2,2,2,0
carousel_native_shown_language_screen_83,2,2,2,0
carousel_native_shown_language_screen_86,2,2,2,0
carousel_native_shown_language_screen_87,2,2,2,0
carousel_native_shown_language_screen_90,2,2,2,0
carousel_native_shown_language_screen_92,2,2,2,0
carousel_native_shown_language_screen_94,2,2,2,0
carousel_native_shown_language_screen_96,2,2,2,0
carousel_native_shown_language_screen_98,2,2,2,0
carousel_native_shown_language_screen_99,2,2,2,0
app_exception,1,1,1,0
