# ----------------------------------------
# Events: Event name
# Account: Default Account for Firebase
# Property: messenger-sms-and-home-app
# ----------------------------------------
# 
# All Users
# Start date: 20260831
# End date: 20260906
Event name,Event count,Total users,Event count per active user,Total revenue
Language_click_Settings,6,4,1.5,0
auto_download_mms_set,6,4,1.5,0
back_button_click_Blocked,6,3,2,0
category_row_Finance_click_AppDrawerSett,6,5,1.2,0
home_screen_set_button_click_Onboarding_,6,5,1.2,0
language_row_click_Settings,6,4,1.5,0
screen_view_Language,6,4,1.5,0
send_on_enter_set,6,4,1.5,0
Known_chip_click_Search,5,3,1.6666666666666667,0
Notifications_click_Settings,5,2,2.5,0
Starred_click_Settings,5,4,1.25,0
category_row_Food__Drink_click_AppDrawer,5,4,1.25,0
language_de_click_LanguageOnboarding,5,5,1,0
mms_sent,5,4,1.25,0
preview_chip_Social_click_AppDrawerSetti,5,4,1.25,0
screen_view_Starred,5,4,1.25,0
send_mms_button_click_Chat,5,4,1.25,0
share_button_click_Chat,5,3,1.6666666666666667,0
starred_row_click_Settings,5,4,1.25,0
Images_chip_click_Search,4,4,1,0
Permissions_click_Settings,4,3,1.3333333333333333,0
Scheduled_click_Settings,4,2,2,0
Share_Messages_click_Settings,4,4,1,0
Terms__conditions_click_Settings,4,2,2,0
Unknown_chip_click_Search,4,3,1.3333333333333333,0
add_category_button_click_AppDrawerSetti,4,3,1.3333333333333333,0
blocked_row_click_Settings,4,4,1,0
category_row_Games_click_AppDrawerSettin,4,3,1.3333333333333333,0
category_row_Social_click_AppDrawerSetti,4,3,1.3333333333333333,0
conversation_result_click_Search,4,4,1,0
e____click_Settings,4,1,4,0
grid_option_6col_click_AppDrawerSettings,4,4,1,0
language_it_click_LanguageOnboarding,4,4,1,0
language_pt_click_LanguageOnboarding,4,4,1,0
language_ta_click_LanguageOnboarding,4,4,1,0
mms_size_limit_set,4,2,2,0
permissions_row_click_Settings,4,3,1.3333333333333333,0
scheduled_row_click_Settings,4,2,2,0
screen_view_Blocked,4,4,1,0
screen_view_Permissions,4,3,1.3333333333333333,0
screen_view_Scheduled,4,2,2,0
screen_view_terms,4,2,2,0
share_app_row_click_Settings,4,4,1,0
sms_send_failed,4,2,2,0
terms_row_click_Settings,4,2,2,0
Blocked_numbers_click_Settings,3,3,1,0
Default_Launcher_click_Settings,3,3,1,0
Links_chip_click_Search,3,3,1,0
Privacy_policy_click_Settings,3,3,1,0
Rate_Messages_click_Settings,3,3,1,0
Spam_click_Settings,3,3,1,0
Version_click_Settings,3,1,3,0
back_button_click_Language,3,2,1.5,0
back_button_click_Terms,3,1,3,0
back_button_click_terms,3,1,3,0
category_row_Shopping_click_AppDrawerSet,3,2,1.5,0
category_row_Travel__Maps_click_AppDrawe,3,3,1,0
clear_attachment_button_click_Chat,3,3,1,0
clear_selection_button_click_Chat,3,2,1.5,0
default_launcher_row_click_Settings,3,3,1,0
dismiss_default_banner_button_click_Home,3,3,1,0
language_ru_click_LanguageOnboarding,3,2,1.5,0
language_th_click_LanguageOnboarding,3,2,1.5,0
preview_chip_Games_click_AppDrawerSettin,3,2,1.5,0
preview_chip_Productivity_click_AppDrawe,3,2,1.5,0
privacy_policy_row_click_Settings,3,3,1,0
screen_view_Spam,3,3,1,0
screen_view_privacy_policy,3,3,1,0
spam_row_click_Settings,3,3,1,0
Autodelete_old_messages_click_Settings,2,1,2,0
MMS_messages_per_thread_click_Settings,2,2,1,0
Trash_click_Settings,2,2,1,0
after_call_set,2,1,2,0
archive_button_click_Home,2,2,1,0
archive_threads_click_home,2,2,1,0
back_button_click_Spam,2,1,2,0
back_button_click_Starred,2,1,2,0
back_button_click_Trash,2,1,2,0
block_button_click_Home,2,2,1,0
category_row_Productivity_click_AppDrawe,2,2,1,0
language_bn_click_LanguageOnboarding,2,2,1,0
language_set,2,1,2,0
manual_entry_send_button_click_ContactPi,2,2,1,0
message_button_click_AfterCall,2,2,1,0
preview_chip_Entertainment_click_AppDraw,2,2,1,0
preview_chip_Shopping_click_AppDrawerSet,2,2,1,0
screen_view_RatingDialog,2,2,1,0
screen_view_Trash,2,2,1,0
skip_block_button_click_Home,2,1,2,0
spam_threads_click_home,2,2,1,0
trash_row_click_Settings,2,2,1,0
Archived_click_Settings,1,1,1,0
Autodownload_MMS_click_Settings,1,1,1,0
Numros_bloqus_click_Settings,1,1,1,0
Phone_state_row_click_Permissions,1,1,1,0
SMS_messages_per_thread_click_Settings,1,1,1,0
Send_on_Enter_click_Settings,1,1,1,0
Theme_click_Settings,1,1,1,0
archived_row_click_Settings,1,1,1,0
close_button_click_Settings_Chat_bubble_,1,1,1,0
e_100_messages_click_SettingsPicker,1,1,1,0
language_en_click_Language,1,1,1,0
language_system_click_Language,1,1,1,0
mms_thread_limit_set,1,1,1,0
notification_reply_sent,1,1,1,0
open_app_settings_button_click_Permissio,1,1,1,0
os_update,1,1,1,0
overlay_set_button_click_Onboarding_3,1,1,1,0
pin_button_click_Home,1,1,1,0
pin_threads_click_home,1,1,1,0
rate_app_row_click_Settings,1,1,1,0
rate_on_play_store_button_click_RatingDi,1,1,1,0
schedule_icon_button_click_Chat,1,1,1,0
screen_view_Archived,1,1,1,0
spam_button_selection_click_Home,1,1,1,0
star_1_button_click_RatingDialog,1,1,1,0
star_2_button_click_RatingDialog,1,1,1,0
star_3_button_click_RatingDialog,1,1,1,0
star_4_button_click_RatingDialog,1,1,1,0
star_5_button_click_RatingDialog,1,1,1,0
